
  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm |   thro1,_part |   thro1,_part | 
      5.66321 |       6.59037 |       6.60993 |       0.33780 |       6.51710 |       7.60657 |       0.38873 |       0.01000 |      -0.25005 |       0.99993 |       0.00611 |      -0.01646 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00101 |      -0.00099 |      -0.05151 |       0.28926 |       0.85657 |      56.74006 |      60.51672 |       0.36798 |      30.69656 |     165.02385 |      -0.01991 |      -0.01470 |      60.02594 |       3.65478 |      51.41981 |      -0.65834 |     212.06540 |       0.09244 |       1.00000 |     212.06517 |      50.00000 |      -2.00000 |  -10992.16016 |    -116.13099 |  -46745.04297 |       0.04491 |      -0.00006 |       0.16787 |       0.00399 |       0.00000 |       0.31113 |       0.31113 | 
      5.57036 |       6.50630 |       6.52561 |       0.33508 |       6.41025 |       7.50954 |       0.38561 |       0.00987 |      -0.25113 |       0.99950 |       0.00613 |      -0.01650 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00097 |      -0.00110 |      -0.05183 |       0.28833 |       0.85081 |      56.51294 |      60.28962 |       0.37138 |      31.18343 |     164.89558 |      -0.02076 |      -0.01496 |      60.04823 |       3.65478 |      51.41981 |      -0.65834 |     212.06508 |       0.09248 |       1.00000 |     212.06487 |      50.00000 |      -2.00000 |  -10992.15723 |    -116.13100 |  -46745.02734 |       0.04492 |      -0.00006 |       0.16643 |       0.04749 |       0.00001 |       0.31078 |       0.31078 | 
      5.93303 |       7.02870 |       7.04956 |       1.22796 |       6.82761 |       8.11249 |       1.41311 |       0.01067 |       0.94544 |       3.09460 |       0.01158 |       0.15285 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00565 |       0.00413 |      -0.18754 |       0.29215 |       0.84731 |      56.16158 |      59.93825 |     -16.03868 |      28.87742 |     161.05946 |      70.77701 |      -0.01335 |      59.97163 |       3.65478 |      51.41981 |      -0.65834 |     212.09360 |       0.12136 |       1.00000 |     212.06451 |      50.00000 |      -2.00000 |  -10992.15234 |    -116.12219 |  -46745.01562 |       0.06751 |       0.59650 |       0.19673 |       0.11357 |       0.00002 |       0.31045 |       0.31045 | 
      5.45208 |       6.28709 |       6.30577 |       0.69997 |       6.27414 |       7.25655 |       0.80551 |       0.00954 |      11.03252 |      -0.03700 |      -0.00242 |       0.00998 |      -0.00003 |      -0.00202 |      -0.01581 |       0.03348 |       0.01540 |      -0.22003 |       0.44158 |       0.91409 |      54.92818 |      58.70385 |      -4.64344 |      29.51739 |     158.98604 |      45.13097 |       0.07175 |      59.70304 |       3.65478 |      51.41981 |      -0.65834 |     212.26625 |       0.29456 |       1.00000 |     212.24078 |      50.00000 |      -2.00000 |  -10992.14551 |    -116.06940 |  -46744.99609 |       0.09110 |       0.25521 |       0.23715 |       0.30219 |       0.00005 |       0.31155 |       0.31155 | 
      5.40404 |       6.27267 |       6.29130 |       1.58867 |       6.21886 |       7.23989 |       1.82821 |       0.00952 |       3.66421 |       0.61581 |       0.00572 |      -0.02266 |      -0.00003 |      -0.00202 |      -0.01581 |       0.01052 |      -0.06028 |      -0.10588 |       0.66079 |       0.94064 |      53.92496 |      57.69914 |      16.17871 |      26.25250 |     159.45589 |     -70.90125 |       0.20315 |      59.51300 |       3.65478 |      51.41981 |      -0.65834 |     212.14586 |       0.17483 |       1.00000 |     212.19908 |      50.00000 |      -2.00000 |  -10992.13477 |    -116.10589 |  -46744.96875 |       0.09384 |      -0.77230 |       0.25041 |       0.47721 |       0.00008 |       0.31211 |       0.31211 | 
      5.37986 |       5.93672 |       5.95433 |       0.38094 |       6.19103 |       6.85212 |       0.43838 |       0.00901 |      -4.17911 |       1.35979 |       0.01986 |      -0.05566 |      -0.00003 |      -0.00202 |      -0.01581 |       0.04351 |       0.04455 |      -0.02991 |       0.73438 |       0.87806 |      53.53472 |      57.30842 |       0.57892 |      25.35966 |     161.77719 |       2.73693 |       0.17716 |      59.44065 |       3.65478 |      51.41981 |      -0.65834 |     212.02325 |       0.05286 |       1.00000 |     212.02487 |      50.00000 |      -2.00000 |  -10992.12598 |    -116.14307 |  -46744.94531 |       0.06121 |       0.00936 |       0.18593 |       0.63306 |       0.00010 |       0.31202 |       0.31202 | 
      5.30666 |       5.80025 |       5.81747 |       0.37349 |       6.10680 |       6.69462 |       0.42980 |       0.00880 |      -2.64558 |       0.93181 |       0.01661 |      -0.03307 |      -0.00003 |      -0.00202 |      -0.01581 |       0.03424 |       0.00510 |       0.00740 |       0.95397 |       1.02088 |      53.49092 |      57.26310 |      -0.57153 |      23.99104 |     163.42287 |      23.63951 |       0.17135 |      59.26963 |       3.65478 |      51.41981 |      -0.65834 |     212.04456 |       0.07458 |       1.00000 |     212.03838 |      50.00000 |      -2.00000 |  -10992.12109 |    -116.13645 |  -46744.92969 |       0.05022 |       0.07704 |       0.16870 |       0.69123 |       0.00011 |       0.31171 |       0.31171 | 
      5.20746 |       5.65130 |       5.66808 |       0.31334 |       5.99264 |       6.52270 |       0.36059 |       0.00858 |      -1.61541 |       0.96846 |       0.02063 |      -0.02843 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00267 |      -0.02656 |       0.04097 |       1.04276 |       0.91342 |      53.65809 |      57.42964 |       0.94880 |      22.69781 |     164.51717 |       2.05539 |       0.16505 |      59.06485 |       3.65478 |      51.41981 |      -0.65834 |     212.05695 |       0.08746 |       1.00000 |     212.05611 |      50.00000 |      -2.00000 |  -10992.11621 |    -116.13253 |  -46744.91016 |       0.04300 |       0.00578 |       0.15525 |       0.75463 |       0.00012 |       0.31116 |       0.31116 | 
      5.13180 |       5.53725 |       5.55368 |       0.28916 |       5.90557 |       6.39106 |       0.33276 |       0.00840 |      -1.47355 |       1.00524 |       0.02008 |      -0.02282 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.02342 |      -0.01276 |       0.06435 |       0.94367 |       0.78897 |      53.99859 |      57.77081 |       0.91977 |      21.88345 |     164.82388 |      -0.06660 |       0.15956 |      58.90684 |       3.65478 |      51.41981 |      -0.65834 |     212.05640 |       0.08735 |       1.00000 |     212.05623 |      50.00000 |      -2.00000 |  -10992.11133 |    -116.13258 |  -46744.89453 |       0.03894 |      -0.00017 |       0.14357 |       0.81078 |       0.00013 |       0.31053 |       0.31053 | 
      5.08074 |       5.46265 |       5.47887 |       0.27575 |       5.84681 |       6.30497 |       0.31733 |       0.00829 |      -1.33840 |       1.00129 |       0.01705 |      -0.01939 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.03061 |      -0.00322 |       0.07801 |       0.79873 |       0.75859 |      54.35925 |      58.13245 |       0.68903 |      21.47160 |     164.67502 |       1.26328 |       0.15553 |      58.82147 |       3.65478 |      51.41981 |      -0.65834 |     212.05663 |       0.08789 |       1.00000 |     212.05618 |      50.00000 |      -2.00000 |  -10992.10742 |    -116.13241 |  -46744.88281 |       0.03748 |       0.00313 |       0.13678 |       0.85268 |       0.00014 |       0.30999 |       0.30999 | 
