"_Vind,_kias",|,"_Vind,_keas",|,"Vtrue,_ktas",|,"Vtrue,_ktgs",|,"_Vind,__mph",|,"Vtrue,mphas",|,"Vtrue,mphgs",|,"_elev,yoke1",|,"ailrn,yoke1",|,"ruddr,yoke1",|,"_vect,_rqst",|,"sweep,_rqst",|,"incid,_rqst",|,"dihed,_rqst",|,"retra,_rqst",|,"water,jetts",|,"____Q,rad/s",|,"____P,rad/s",|,"____R,rad/s",|,"pitch,__deg",|,"_roll,__deg",|,"hding,_true",|,"hding,__mag",|,"alpha,__deg",|,"_beta,__deg",|,"hpath,__deg",|,"vpath,__deg",|,"_slip,__deg",|,"__mag,_comp",|,"mavar,__deg",|,"__lat,__deg",|,"__lon,__deg",|,"__alt,ftmsl",|,"__alt,ftagl",|,"___on,runwy",|,"__alt,__ind",|,"__lat,south",|,"__lon,_west",|,"____X,____m",|,"____Y,____m",|,"____Z,____m",|,"___vX,__m/s",|,"___vY,__m/s",|,"___vZ,__m/s",|,"_dist,___ft",|,"_dist,___nm",|,"thro1,_part",|,"thro1,_part",
-184.87347,|,4.78129,|,5.16719,|,1.20515,|,-212.7486,|,5.9463,|,1.38686,|,-0.2404,|,-1,|,1,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.01246,|,-0.00784,|,0.01634,|,0.21881,|,-0.36315,|,288.87112,|,292.65106,|,-96.16959,|,-76.44355,|,320.40271,|,87.60237,|,-0.00215,|,350.89194,|,3.65524,|,51.42054,|,-0.65911,|,5220.02588,|,5007.29297,|,1,|,1522.52478,|,50,|,-2,|,-11048.05078,|,1409.56177,|,-46837.78516,|,-0.01653,|,0.61944,|,-0.01999,|,0.04167,|,0.00001,|,0.74981,|,0.74981,
-166.74907,|,5.48724,|,5.93014,|,3.10577,|,-191.8914,|,6.82429,|,3.57405,|,0.02125,|,1,|,-1,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.05213,|,-0.05403,|,0.1328,|,0.02035,|,-0.6171,|,289.30377,|,293.08243,|,-90.12445,|,-58.71468,|,311.21558,|,87.21497,|,0.01194,|,345.80176,|,3.65524,|,51.42054,|,-0.65911,|,5220.43408,|,5007.70117,|,1,|,1885.35132,|,50,|,-2,|,-11048.05469,|,1409.68616,|,-46837.78906,|,-0.0584,|,1.59586,|,-0.05115,|,0.45036,|,0.00007,|,0.74701,|,0.74701,
-150.77043,|,5.75029,|,6.21448,|,3.65851,|,-173.50352,|,7.1515,|,4.21013,|,-0.36905,|,-1,|,1,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.0828,|,-0.10601,|,0.30983,|,-0.35774,|,-1.1277,|,290.604,|,294.38028,|,-87.55643,|,-54.72161,|,297.32535,|,86.63701,|,0.02347,|,341.2431,|,3.65524,|,51.42054,|,-0.65911,|,5221.02246,|,5008.28955,|,1,|,2205.48999,|,50,|,-2,|,-11048.0625,|,1409.86548,|,-46837.79297,|,-0.09809,|,1.87886,|,-0.05068,|,1.03941,|,0.00017,|,0.74231,|,0.74231,
-136.55611,|,5.67448,|,6.13261,|,3.53121,|,-157.14597,|,7.05728,|,4.06364,|,-0.02198,|,1,|,-1,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.10422,|,-0.10608,|,0.4404,|,-0.83889,|,-1.76566,|,292.76266,|,296.53604,|,-83.75593,|,-56.06522,|,293.95709,|,85.55861,|,0.01504,|,337.41785,|,3.65524,|,51.42054,|,-0.65911,|,5221.62744,|,5008.89404,|,1,|,2490.38794,|,50,|,-2,|,-11048.07324,|,1410.0498,|,-46837.79688,|,-0.12856,|,1.81115,|,-0.05712,|,1.64568,|,0.00027,|,0.73569,|,0.73569,
-123.46019,|,5.40781,|,5.84447,|,3.07954,|,-142.07545,|,6.72569,|,3.54387,|,-0.29531,|,-0.93043,|,1,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.12139,|,-0.09053,|,0.59336,|,-1.37274,|,-2.39948,|,295.73096,|,299.50137,|,-77.02845,|,-59.36992,|,285.48499,|,83.70831,|,0.02246,|,334.1272,|,3.65524,|,51.42054,|,-0.65911,|,5222.17676,|,5009.44385,|,1,|,2747.49927,|,50,|,-2,|,-11048.08789,|,1410.21729,|,-46837.80469,|,-0.16732,|,1.57471,|,-0.04635,|,2.19725,|,0.00036,|,0.72705,|,0.72705,
-111.66767,|,5.10574,|,5.51804,|,2.44473,|,-128.50487,|,6.35005,|,2.81335,|,-0.0856,|,0.54262,|,-1,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.13371,|,-0.0506,|,0.68494,|,-1.92229,|,-2.89639,|,299.37915,|,303.14694,|,-65.20767,|,-63.52987,|,283.43671,|,80.57207,|,0.01418,|,331.56427,|,3.65524,|,51.42054,|,-0.65911,|,5222.62842,|,5009.89551,|,1,|,2979.10278,|,50,|,-2,|,-11048.10645,|,1410.35486,|,-46837.80859,|,-0.20038,|,1.24069,|,-0.04787,|,2.65297,|,0.00044,|,0.71631,|,0.71631,|
-100.59559,|,4.83173,|,5.22193,|,1.73373,|,-115.76334,|,6.00929,|,1.99514,|,-0.16521,|,-0.19055,|,0.63239,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.14431,|,-0.02186,|,0.73027,|,-2.5036,|,-3.26293,|,303.54865,|,307.31421,|,-45.85105,|,-66.47488,|,281.99194,|,74.23808,|,0.02945,|,329.44083,|,3.65524,|,51.42054,|,-0.65911,|,5222.97363,|,5010.24023,|,1,|,3194.47754,|,50,|,-2,|,-11048.12793,|,1410.45996,|,-46837.8125,|,-0.23699,|,0.85837,|,-0.05034,|,3.00588,|,0.00049,|,0.70258,|,0.70258,
-90.73301,|,4.658,|,5.03419,|,1.04496,|,-104.41369,|,5.79324,|,1.20252,|,-0.13434,|,0.13906,|,-0.89375,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.14951,|,0.01231,|,0.69021,|,-3.09752,|,-3.47429,|,307.62054,|,311.38431,|,-21.79505,|,-66.22307,|,284.18213,|,59.00302,|,0.06092,|,327.87967,|,3.65524,|,51.42054,|,-0.65911,|,5223.18506,|,5010.45166,|,1,|,3385.56226,|,50,|,-2,|,-11048.15332,|,1410.52441,|,-46837.82031,|,-0.26841,|,0.46081,|,-0.06783,|,3.23401,|,0.00053,|,0.68697,|,0.68697,|
-81.79485,|,4.56747,|,4.93635,|,0.62781,|,-94.12784,|,5.68065,|,0.72247,|,-0.15095,|,-0.09576,|,0.27614,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.15206,|,0.03539,|,0.64816,|,-3.71685,|,-3.55999,|,311.46085,|,315.22318,|,-0.61299,|,-62.57499,|,285.82278,|,10.64573,|,0.07417,|,326.71536,|,3.65524,|,51.42054,|,-0.65911,|,5223.26758,|,5010.5332,|,1,|,3558.67578,|,50,|,-2,|,-11048.18262,|,1410.54932,|,-46837.82422,|,-0.30539,|,0.05966,|,-0.08655,|,3.36423,|,0.00055,|,0.6698,|,0.6698,|
-73.85596,|,4.60596,|,4.97795,|,0.94594,|,-84.99192,|,5.72853,|,1.08857,|,-0.13619,|,0.03305,|,-0.40632,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.15253,|,0.05404,|,0.5876,|,-4.34393,|,-3.54646,|,314.89111,|,318.65237,|,14.05137,|,-56.75615,|,288.13358,|,-42.22387,|,0.08156,|,326.03241,|,3.65524,|,51.42054,|,-0.65911,|,5223.22314,|,5010.48877,|,1,|,3711.32129,|,50,|,-2,|,-11048.21289,|,1410.53564,|,-46837.83594,|,-0.34247,|,-0.32703,|,-0.11216,|,3.48411,|,0.00057,|,0.65198,|,0.65198,|
